,Año,Clave_Ent,Cve. Municipio,Tipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
269,0,0,2,32,0,0,0,0,0,0,0,1,0,0,0,0
270,0,0,2,32,5,1,3,2,1,2,4,4,2,5,5,5
271,0,0,2,17,3,7,2,0,3,5,4,4,8,2,3,3
272,0,0,2,1,0,0,2,0,0,1,1,2,0,4,1,0
273,0,0,2,13,0,0,0,0,0,0,0,0,1,0,1,0
274,0,0,2,8,21,8,8,3,3,8,13,11,6,11,11,9
275,0,0,2,10,1,0,0,0,1,1,1,1,1,0,0,1
276,0,0,2,24,0,0,0,1,0,0,0,0,1,0,0,0
277,0,0,2,39,5,5,2,3,2,5,1,3,2,1,4,1
278,0,0,2,38,0,0,0,0,0,0,0,0,0,0,0,0
279,0,0,2,21,0,0,1,0,0,0,0,0,0,0,0,0
280,0,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0
281,0,0,2,7,0,1,0,0,0,0,0,0,1,0,1,0
282,0,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0
283,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0
284,0,0,2,23,13,10,6,4,2,3,8,3,1,3,0,1
285,0,0,2,5,1,3,4,1,5,3,4,5,2,7,4,5
286,0,0,2,4,2,0,1,0,0,0,0,1,0,0,2,1
287,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0
288,0,0,2,14,1,0,0,0,0,0,0,0,0,0,0,1
289,0,0,2,15,1,3,2,1,0,2,0,1,1,0,2,1
290,0,0,2,6,0,0,0,0,0,1,0,0,0,2,0,2
291,0,0,2,9,0,1,2,1,0,2,1,2,1,0,0,0
292,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0
293,0,0,2,27,2,1,7,2,0,2,0,3,2,2,1,1
294,0,0,3,18,0,0,0,0,1,0,0,0,0,0,0,0
295,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0
296,0,0,3,18,0,1,0,0,0,0,0,0,0,0,0,0
297,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0
298,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,3,18,1,0,1,1,0,0,0,0,0,1,0,0
301,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0
302,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0
303,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0
304,0,0,3,22,1,1,0,0,1,0,0,0,1,0,0,0
305,0,0,3,22,1,2,5,1,2,10,3,1,3,3,1,1
306,0,0,3,22,1,0,1,0,0,3,1,3,0,0,1,0
307,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0
308,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0
309,0,0,3,22,0,0,0,0,0,1,1,0,0,1,1,0
310,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0
311,0,0,3,22,0,0,0,0,0,0,0,2,0,0,0,1
